CELL_LINE_NAME	AEW541	Nilotinib	17-AAG	PHA-665752	Lapatinib	Nutlin-3	AZD0530	PF2341066	L-685458	ZD-6474	Panobinostat	Sorafenib	Irinotecan	Topotecan	LBW242	PD-0325901	PD-0332991	Paclitaxel	AZD6244	PLX4720	RAF265	TAE684	TKI258	Erlotinib
GAMG	1		-1	0	1	1	1	1	1	1	-1	1		0	0	1		-1	1	1		1	1	1
GB-1	0	1	-1	1	1	1	0	0	1	0	-1	0	-1	-1	1	-1	1	-1	0	0	-1	0	0	1
GCIY	0	0	-1	1	0	1	0	1	1	0	-1	1		0	0	0	1	-1	1	1	0	0	1	0
GCT	0	0	-1	0	0	1	0	0	0	0	-1	1	-1	-1	-1	-1	0	-1	0	0	-1	-1	0	0
GI-1	0		-1	1	1	0	0	0	1	0	-1	1		-1	1	0		-1	0	0		0	0	1
GLC-82	0	1	-1	0	1	1	1	1	1	0	-1	1	-1	0	1	1	1	-1	1	1	0	0	0	0
GMS-10	0	1	-1	1	1	1	0	1	1	0	-1	1	0	0	0	0	1	-1	1	1	0	0	1	1
GRANTA-519	0	0	-1	1	1	0	-1	0	0	-1	-1	1	-1	-1	1	0	0	-1	0	1	0	-1	0	1
H4	1	0	-1	0	1	0	0	0	1	0	-1	1		-1	1	1	0	-1	1	0	0	0	0	1
HARA	1		-1	1	0	1	0	1	1	0	-1	1		-1	1	0		-1	1	1	0	0	0	0
HCC1187	1	1	0	1	1	1	1	1	-1	0	-1	1		0	1	0	1	-1	1	1	0	1	1	1
HCC1395	0		-1	1	1	1	0	1	1	0	-1	1		-1	0	0		-1	0	1		1	0	0
HCC-15	0	1	-1	0	0	0	0	0	1	0	-1	0		-1	0	0	1	-1	0	0	0	0	0	1
HCC1569	1	1	-1	1	1	1	1	1	1	0	-1	1	-1	0	1	1	1	-1	1	1	1	1	1	1
HCC1806	0	0	-1	1	0	0	-1	0	1	0	-1	0		-1	0	-1	1	-1	0	1	-1	0	0	-1
HCC1954	0	0	-1	1	-1	1	0	1	1	0	-1	1		0	0	0	0	-1	0	1	0	0	1	0
HCC2935	0	1	-1	1	0	1	-1	1	1	-1	-1	1	0	-1	1	0	1	-1	0	0	0	0	1	-1
HCC4006	0	0	-1	1	0	1	-1	0	0	-1	-1	1	-1	0	1	0	0	-1	1	1	0	0	0	-1
